Mach,p,Points:0
0.15612,0.98872,0
0.15618,0.98871,0.12
0.15625,0.9887,0.24
0.15631,0.9887,0.36
0.15637,0.98869,0.48
0.15644,0.98869,0.6
0.1565,0.98868,0.72
0.15656,0.98868,0.84
0.15663,0.98867,0.96
0.15669,0.98867,1.08
0.15675,0.98866,1.2
0.15682,0.98866,1.32
0.15688,0.98865,1.44
0.15694,0.98865,1.56
0.15701,0.98864,1.68
0.15707,0.98864,1.8
0.15713,0.98863,1.92
0.1572,0.98863,2.04
0.15726,0.98862,2.16
0.15732,0.98862,2.28
0.15739,0.98861,2.4
0.15745,0.98861,2.52
0.15751,0.9886,2.64
0.15758,0.9886,2.76
0.15764,0.98859,2.88
0.1577,0.98858,3
0.15777,0.98858,3.12
0.15783,0.98857,3.24
0.15789,0.98857,3.36
0.15796,0.98856,3.48
0.15802,0.98856,3.6
0.15808,0.98855,3.72
0.15815,0.98855,3.84
0.15821,0.98854,3.96
0.15827,0.98854,4.08
0.15833,0.98853,4.2
0.1584,0.98853,4.32
0.15846,0.98852,4.44
0.15852,0.98852,4.56
0.15859,0.98851,4.68
0.15865,0.98851,4.8
0.15871,0.9885,4.92
0.15879,0.98849,5.04
0.1589,0.98848,5.16
0.15901,0.98846,5.28
0.15912,0.98845,5.4
0.15923,0.98843,5.52
0.15934,0.98842,5.64
0.15945,0.98841,5.76
0.15956,0.98839,5.88
0.15967,0.98838,6
0.15978,0.98836,6.12
0.15989,0.98835,6.24
0.16,0.98833,6.36
0.16011,0.98832,6.48
0.16022,0.9883,6.6
0.16033,0.98829,6.72
0.16044,0.98828,6.84
0.16055,0.98826,6.96
0.16066,0.98825,7.08
0.16077,0.98823,7.2
0.16088,0.98822,7.32
0.16099,0.9882,7.44
0.1611,0.98819,7.56
0.1612,0.98817,7.68
0.16131,0.98816,7.8
0.16142,0.98814,7.92
0.16153,0.98813,8.04
0.16164,0.98812,8.16
0.16175,0.9881,8.28
0.16186,0.98809,8.4
0.16197,0.98807,8.52
0.16208,0.98806,8.64
0.16219,0.98804,8.76
0.1623,0.98803,8.88
0.16241,0.98801,9
0.16252,0.988,9.12
0.16263,0.98798,9.24
0.16274,0.98797,9.36
0.16285,0.98796,9.48
0.16296,0.98794,9.6
0.16307,0.98793,9.72
0.16318,0.98791,9.84
0.16329,0.9879,9.96
0.16344,0.98788,10.08
0.16361,0.98785,10.2
0.16377,0.98782,10.32
0.16394,0.9878,10.44
0.16411,0.98777,10.56
0.16428,0.98774,10.68
0.16445,0.98772,10.8
0.16462,0.98769,10.92
0.16478,0.98767,11.04
0.16495,0.98764,11.16
0.16512,0.98761,11.28
0.16529,0.98759,11.4
0.16546,0.98756,11.52
0.16563,0.98754,11.64
0.1658,0.98751,11.76
0.16596,0.98748,11.88
0.16613,0.98746,12
0.1663,0.98743,12.12
0.16647,0.9874,12.24
0.16664,0.98738,12.36
0.16681,0.98735,12.48
0.16697,0.98733,12.6
0.16714,0.9873,12.72
0.16731,0.98727,12.84
0.16748,0.98725,12.96
0.16765,0.98722,13.08
0.16782,0.9872,13.2
0.16799,0.98717,13.32
0.16815,0.98714,13.44
0.16832,0.98712,13.56
0.16849,0.98709,13.68
0.16866,0.98706,13.8
0.16883,0.98704,13.92
0.169,0.98701,14.04
0.16917,0.98699,14.16
0.16933,0.98696,14.28
0.1695,0.98693,14.4
0.16967,0.98691,14.52
0.16984,0.98688,14.64
0.17001,0.98686,14.76
0.17018,0.98683,14.88
0.17034,0.9868,15
0.17058,0.98677,15.12
0.17081,0.98673,15.24
0.17104,0.98669,15.36
0.17127,0.98666,15.48
0.1715,0.98662,15.6
0.17173,0.98658,15.72
0.17196,0.98655,15.84
0.17219,0.98651,15.96
0.17242,0.98647,16.08
0.17265,0.98644,16.2
0.17288,0.9864,16.32
0.17311,0.98636,16.44
0.17334,0.98633,16.56
0.17357,0.98629,16.68
0.1738,0.98625,16.8
0.17403,0.98622,16.92
0.17427,0.98618,17.04
0.1745,0.98614,17.16
0.17473,0.98611,17.28
0.17496,0.98607,17.4
0.17519,0.98603,17.52
0.17542,0.986,17.64
0.17565,0.98596,17.76
0.17588,0.98592,17.88
0.17611,0.98589,18
0.17634,0.98585,18.12
0.17657,0.98581,18.24
0.1768,0.98578,18.36
0.17703,0.98574,18.48
0.17726,0.9857,18.6
0.17749,0.98567,18.72
0.17772,0.98563,18.84
0.17796,0.98559,18.96
0.17819,0.98556,19.08
0.17842,0.98552,19.2
0.17865,0.98548,19.32
0.17888,0.98545,19.44
0.17911,0.98541,19.56
0.17934,0.98537,19.68
0.17957,0.98534,19.8
0.1798,0.9853,19.92
0.18006,0.98526,20.04
0.18036,0.98521,20.16
0.18067,0.98516,20.28
0.18097,0.98511,20.4
0.18128,0.98506,20.52
0.18158,0.985,20.64
0.18189,0.98495,20.76
0.18219,0.9849,20.88
0.1825,0.98485,21
0.1828,0.9848,21.12
0.18311,0.98475,21.24
0.18341,0.9847,21.36
0.18372,0.98465,21.48
0.18402,0.9846,21.6
0.18433,0.98455,21.72
0.18463,0.9845,21.84
0.18494,0.98445,21.96
0.18525,0.9844,22.08
0.18555,0.98434,22.2
0.18586,0.98429,22.32
0.18616,0.98424,22.44
0.18647,0.98419,22.56
0.18677,0.98414,22.68
0.18708,0.98409,22.8
0.18738,0.98404,22.92
0.18769,0.98399,23.04
0.18799,0.98394,23.16
0.1883,0.98389,23.28
0.1886,0.98384,23.4
0.18891,0.98379,23.52
0.18921,0.98374,23.64
0.18952,0.98368,23.76
0.18982,0.98363,23.88
0.19013,0.98358,24
0.19043,0.98353,24.12
0.19074,0.98348,24.24
0.19105,0.98343,24.36
0.19135,0.98338,24.48
0.19166,0.98333,24.6
0.19196,0.98328,24.72
0.19227,0.98323,24.84
0.19257,0.98318,24.96
0.19294,0.98311,25.08
0.19334,0.98305,25.2
0.19373,0.98298,25.32
0.19413,0.98291,25.44
0.19453,0.98284,25.56
0.19493,0.98277,25.68
0.19532,0.9827,25.8
0.19572,0.98263,25.92
0.19612,0.98257,26.04
0.19652,0.9825,26.16
0.19691,0.98243,26.28
0.19731,0.98236,26.4
0.19771,0.98229,26.52
0.19811,0.98222,26.64
0.1985,0.98215,26.76
0.1989,0.98208,26.88
0.1993,0.98202,27
0.1997,0.98195,27.12
0.20009,0.98188,27.24
0.20049,0.98181,27.36
0.20089,0.98174,27.48
0.20129,0.98167,27.6
0.20168,0.9816,27.72
0.20208,0.98153,27.84
0.20248,0.98147,27.96
0.20288,0.9814,28.08
0.20327,0.98133,28.2
0.20367,0.98126,28.32
0.20407,0.98119,28.44
0.20447,0.98112,28.56
0.20486,0.98105,28.68
0.20526,0.98098,28.8
0.20566,0.98092,28.92
0.20606,0.98085,29.04
0.20645,0.98078,29.16
0.20685,0.98071,29.28
0.20725,0.98064,29.4
0.20765,0.98057,29.52
0.20804,0.9805,29.64
0.20844,0.98043,29.76
0.20884,0.98037,29.88
0.20924,0.9803,30
0.20977,0.98019,30.12
0.2103,0.98009,30.24
0.21084,0.97998,30.36
0.21137,0.97988,30.48
0.2119,0.97977,30.6
0.21244,0.97967,30.72
0.21297,0.97957,30.84
0.2135,0.97946,30.96
0.21403,0.97936,31.08
0.21457,0.97925,31.2
0.2151,0.97915,31.32
0.21563,0.97904,31.44
0.21617,0.97894,31.56
0.2167,0.97883,31.68
0.21723,0.97873,31.8
0.21777,0.97862,31.92
0.2183,0.97852,32.04
0.21883,0.97842,32.16
0.21937,0.97831,32.28
0.2199,0.97821,32.4
0.22045,0.9781,32.52
0.22106,0.97795,32.64
0.22168,0.97781,32.76
0.22229,0.97766,32.88
0.22291,0.97752,33
0.22353,0.97737,33.12
0.22414,0.97723,33.24
0.22476,0.97708,33.36
0.22538,0.97694,33.48
0.22599,0.9768,33.6
0.22661,0.97665,33.72
0.22722,0.97651,33.84
0.22784,0.97636,33.96
0.22846,0.97622,34.08
0.22907,0.97607,34.2
0.22969,0.97593,34.32
0.2303,0.97579,34.44
0.23092,0.97564,34.56
0.23154,0.9755,34.68
0.23215,0.97535,34.8
0.23277,0.97521,34.92
0.23341,0.97506,35.04
0.2341,0.97491,35.16
0.23479,0.97477,35.28
0.23548,0.97462,35.4
0.23617,0.97447,35.52
0.23686,0.97432,35.64
0.23755,0.97417,35.76
0.23825,0.97402,35.88
0.23894,0.97387,36
0.23963,0.97373,36.12
0.24032,0.97358,36.24
0.24101,0.97343,36.36
0.2417,0.97328,36.48
0.24239,0.97313,36.6
0.24308,0.97298,36.72
0.24377,0.97283,36.84
0.24446,0.97268,36.96
0.24515,0.97254,37.08
0.24584,0.97239,37.2
0.24653,0.97224,37.32
0.24722,0.97209,37.44
0.24797,0.97193,37.56
0.24876,0.97177,37.68
0.24955,0.9716,37.8
0.25034,0.97143,37.92
0.25113,0.97127,38.04
0.25192,0.9711,38.16
0.25271,0.97093,38.28
0.2535,0.97077,38.4
0.25429,0.9706,38.52
0.25508,0.97043,38.64
0.25587,0.97027,38.76
0.25666,0.9701,38.88
0.25746,0.96993,39
0.25825,0.96977,39.12
0.25904,0.9696,39.24
0.25983,0.96943,39.36
0.26062,0.96927,39.48
0.26141,0.9691,39.6
0.2622,0.96894,39.72
0.26299,0.96877,39.84
0.26378,0.9686,39.96
0.26466,0.96838,40.08
0.26559,0.96813,40.2
0.26652,0.96788,40.32
0.26744,0.96763,40.44
0.26837,0.96738,40.56
0.2693,0.96713,40.68
0.27022,0.96689,40.8
0.27115,0.96664,40.92
0.27208,0.96639,41.04
0.273,0.96614,41.16
0.27394,0.96589,41.28
0.27492,0.96564,41.4
0.27589,0.96539,41.52
0.27687,0.96514,41.64
0.27784,0.96489,41.76
0.27881,0.96464,41.88
0.27979,0.96439,42
0.28076,0.96413,42.12
0.28174,0.96388,42.24
0.28271,0.96363,42.36
0.28369,0.96338,42.48
0.28473,0.96312,42.6
0.28578,0.96286,42.72
0.28684,0.9626,42.84
0.28789,0.96234,42.96
0.28895,0.96208,43.08
0.29,0.96182,43.2
0.29106,0.96156,43.32
0.29211,0.96129,43.44
0.29317,0.96103,43.56
0.29422,0.96077,43.68
0.29532,0.96049,43.8
0.29648,0.96019,43.92
0.29764,0.95989,44.04
0.29879,0.95959,44.16
0.29995,0.95928,44.28
0.30111,0.95898,44.4
0.30227,0.95868,44.52
0.30342,0.95838,44.64
0.30458,0.95808,44.76
0.30574,0.95777,44.88
0.3069,0.95747,45
0.30815,0.95713,45.12
0.30941,0.95679,45.24
0.31066,0.95645,45.36
0.31191,0.95611,45.48
0.31317,0.95577,45.6
0.31442,0.95543,45.72
0.31567,0.95509,45.84
0.31693,0.95475,45.96
0.31818,0.95441,46.08
0.31943,0.95407,46.2
0.32074,0.95372,46.32
0.32209,0.95336,46.44
0.32343,0.953,46.56
0.32478,0.95264,46.68
0.32613,0.95228,46.8
0.32747,0.95192,46.92
0.32882,0.95156,47.04
0.33016,0.9512,47.16
0.33151,0.95083,47.28
0.33286,0.95047,47.4
0.33423,0.9501,47.52
0.33572,0.94965,47.64
0.33721,0.94919,47.76
0.3387,0.94874,47.88
0.34019,0.94829,48
0.34167,0.94783,48.12
0.34318,0.94738,48.24
0.34469,0.94692,48.36
0.3462,0.94646,48.48
0.34771,0.94601,48.6
0.34922,0.94555,48.72
0.35077,0.94508,48.84
0.35234,0.94461,48.96
0.35391,0.94414,49.08
0.35547,0.94367,49.2
0.35704,0.94319,49.32
0.35865,0.9427,49.44
0.36029,0.94219,49.56
0.36192,0.94168,49.68
0.36356,0.94117,49.8
0.3652,0.94066,49.92
0.36686,0.94015,50.04
0.36857,0.9396,50.16
0.37028,0.93906,50.28
0.37199,0.93852,50.4
0.37371,0.93798,50.52
0.37543,0.93744,50.64
0.37721,0.93689,50.76
0.37899,0.93634,50.88
0.38077,0.93579,51
0.38255,0.93524,51.12
0.38433,0.93468,51.24
0.38619,0.93408,51.36
0.38805,0.93347,51.48
0.38992,0.93286,51.6
0.39178,0.93225,51.72
0.39365,0.93164,51.84
0.39556,0.931,51.96
0.39749,0.93037,52.08
0.39942,0.92973,52.2
0.40135,0.92909,52.32
0.40328,0.92845,52.44
0.40524,0.92779,52.56
0.40724,0.92712,52.68
0.40924,0.92645,52.8
0.41123,0.92578,52.92
0.41323,0.92511,53.04
0.41525,0.92443,53.16
0.41733,0.92371,53.28
0.41941,0.923,53.4
0.42149,0.92228,53.52
0.42357,0.92156,53.64
0.42565,0.92084,53.76
0.4278,0.92008,53.88
0.42996,0.91932,54
0.43211,0.91855,54.12
0.43427,0.91779,54.24
0.43642,0.91702,54.36
0.43863,0.91626,54.48
0.44085,0.9155,54.6
0.44307,0.91473,54.72
0.44529,0.91397,54.84
0.44751,0.91321,54.96
0.44985,0.91235,55.08
0.45225,0.91145,55.2
0.45465,0.91054,55.32
0.45704,0.90964,55.44
0.45943,0.90874,55.56
0.46181,0.90785,55.68
0.46419,0.90697,55.8
0.46658,0.90608,55.92
0.469,0.90518,56.04
0.47143,0.90427,56.16
0.47389,0.90334,56.28
0.4764,0.90238,56.4
0.47891,0.90142,56.52
0.48144,0.90047,56.64
0.48397,0.89952,56.76
0.48651,0.89857,56.88
0.48912,0.89755,57
0.49172,0.89652,57.12
0.49434,0.89551,57.24
0.49696,0.89451,57.36
0.49959,0.89351,57.48
0.50228,0.89245,57.6
0.50498,0.89138,57.72
0.50768,0.89032,57.84
0.51041,0.88924,57.96
0.51314,0.88817,58.08
0.5159,0.88707,58.2
0.51869,0.88595,58.32
0.52148,0.88483,58.44
0.5243,0.88369,58.56
0.52711,0.88255,58.68
0.52993,0.8814,58.8
0.53278,0.88024,58.92
0.53563,0.87908,59.04
0.53852,0.87788,59.16
0.54142,0.87667,59.28
0.54433,0.87545,59.4
0.54728,0.87422,59.52
0.55023,0.87299,59.64
0.5532,0.87175,59.76
0.55617,0.8705,59.88
0.55914,0.86926,60
0.56219,0.86796,60.12
0.56524,0.86667,60.24
0.56829,0.86537,60.36
0.57136,0.86404,60.48
0.57442,0.86272,60.6
0.57753,0.86138,60.72
0.58064,0.86003,60.84
0.58376,0.85867,60.96
0.58691,0.8573,61.08
0.59005,0.85593,61.2
0.59323,0.85453,61.32
0.59644,0.85311,61.44
0.59965,0.8517,61.56
0.6029,0.85025,61.68
0.60614,0.84881,61.8
0.6094,0.84735,61.92
0.61267,0.84589,62.04
0.61594,0.84442,62.16
0.61924,0.84294,62.28
0.62255,0.84144,62.4
0.62586,0.83995,62.52
0.62918,0.83843,62.64
0.6325,0.83691,62.76
0.63584,0.83538,62.88
0.63919,0.83385,63
0.64254,0.83231,63.12
0.64588,0.83076,63.24
0.64922,0.82921,63.36
0.65259,0.82767,63.48
0.65601,0.82612,63.6
0.65943,0.82457,63.72
0.66302,0.82287,63.84
0.66659,0.82117,63.96
0.67008,0.8195,64.08
0.67359,0.81784,64.2
0.67709,0.8162,64.32
0.68065,0.81452,64.44
0.68424,0.81281,64.56
0.68778,0.81113,64.68
0.69141,0.80939,64.8
0.69503,0.80767,64.92
0.69864,0.80595,65.04
0.70228,0.80422,65.16
0.70588,0.80248,65.28
0.7095,0.80073,65.4
0.71311,0.79898,65.52
0.71671,0.79721,65.64
0.72041,0.7954,65.76
0.72404,0.79361,65.88
0.7277,0.79181,66
0.7314,0.78997,66.12
0.7351,0.78813,66.24
0.73885,0.78627,66.36
0.74255,0.78442,66.48
0.74624,0.78258,66.6
0.74997,0.7807,66.72
0.75372,0.77879,66.84
0.75748,0.77687,66.96
0.76126,0.77493,67.08
0.76506,0.77299,67.2
0.76887,0.77103,67.32
0.77269,0.76906,67.44
0.77653,0.76707,67.56
0.78038,0.76507,67.68
0.78425,0.76305,67.8
0.78815,0.76102,67.92
0.79207,0.75896,68.04
0.79602,0.75689,68.16
0.8,0.75481,68.28
0.80399,0.75271,68.4
0.80799,0.75059,68.52
0.81198,0.74848,68.64
0.81596,0.74636,68.76
0.81995,0.74423,68.88
0.82394,0.7421,69
0.82794,0.73996,69.12
0.83198,0.7378,69.24
0.83602,0.73563,69.36
0.84011,0.73342,69.48
0.84422,0.7312,69.6
0.84833,0.72898,69.72
0.85245,0.72675,69.84
0.8565,0.72455,69.96
0.8606,0.72232,70.08
0.86472,0.72006,70.2
0.86885,0.71779,70.32
0.87301,0.7155,70.44
0.87714,0.71322,70.56
0.88127,0.71095,70.68
0.88539,0.70868,70.8
0.88947,0.70644,70.92
0.89355,0.7042,71.04
0.89759,0.70197,71.16
0.90161,0.69977,71.28
0.90561,0.69758,71.4
0.90955,0.69543,71.52
0.91344,0.69331,71.64
0.91727,0.69124,71.76
0.921,0.68922,71.88
0.92465,0.68723,72
0.92841,0.68516,72.12
0.93229,0.683,72.24
0.93628,0.68077,72.36
0.94037,0.67848,72.48
0.94449,0.67618,72.6
0.94859,0.67389,72.72
0.95265,0.67162,72.84
0.95666,0.66938,72.96
0.96062,0.66717,73.08
0.96453,0.66498,73.2
0.96842,0.6628,73.32
0.97228,0.66065,73.44
0.9761,0.6585,73.56
0.97991,0.65637,73.68
0.98369,0.65423,73.8
0.98747,0.65211,73.92
0.99122,0.64999,74.04
0.99497,0.64787,74.16
0.9987,0.64574,74.28
1.0024,0.64362,74.4
1.0061,0.6415,74.52
1.0098,0.63937,74.64
1.0135,0.63723,74.76
1.0172,0.63509,74.88
1.0209,0.63295,75
1.0246,0.63079,75.12
1.0283,0.62862,75.24
1.032,0.62644,75.36
1.0357,0.62424,75.48
1.0394,0.62202,75.6
1.0432,0.61976,75.72
1.047,0.61746,75.84
1.0509,0.61512,75.96
1.0548,0.61272,76.08
1.0588,0.61025,76.2
1.063,0.60772,76.32
1.0672,0.60514,76.44
1.0715,0.60252,76.56
1.0759,0.59985,76.68
1.0803,0.59715,76.8
1.0846,0.59444,76.92
1.089,0.59173,77.04
1.0933,0.58905,77.16
1.0975,0.58642,77.28
1.1016,0.58382,77.4
1.1056,0.58125,77.52
1.1095,0.57875,77.64
1.1134,0.57626,77.76
1.1172,0.57382,77.88
1.1209,0.57139,78
1.1246,0.56898,78.12
1.1283,0.5666,78.24
1.132,0.56423,78.36
1.1355,0.56189,78.48
1.1391,0.55959,78.6
1.1426,0.55727,78.72
1.146,0.55498,78.84
1.1495,0.55269,78.96
1.153,0.55039,79.08
1.1565,0.54808,79.2
1.1601,0.54573,79.32
1.1638,0.54333,79.44
1.1675,0.54089,79.56
1.1713,0.53839,79.68
1.1752,0.53585,79.8
1.1792,0.53327,79.92
1.1833,0.53066,80.04
1.1874,0.52802,80.16
1.1915,0.52536,80.28
1.1957,0.52269,80.4
1.1999,0.52002,80.52
1.2041,0.51732,80.64
1.2084,0.51461,80.76
1.2127,0.51189,80.88
1.217,0.50915,81
1.2214,0.5064,81.12
1.2258,0.50363,81.24
1.2301,0.50086,81.36
1.2345,0.49811,81.48
1.2389,0.49539,81.6
1.2433,0.49267,81.72
1.2476,0.48994,81.84
1.2519,0.48724,81.96
1.2562,0.48455,82.08
1.2605,0.48187,82.2
1.2647,0.47923,82.32
1.2689,0.47659,82.44
1.2732,0.47395,82.56
1.2774,0.47131,82.68
1.2816,0.46865,82.8
1.2858,0.46601,82.92
1.29,0.46339,83.04
1.2943,0.46078,83.16
1.2985,0.45818,83.28
1.3027,0.45558,83.4
1.3068,0.45298,83.52
1.3111,0.45039,83.64
1.3153,0.44781,83.76
1.3195,0.44523,83.88
1.3236,0.44269,84
1.3278,0.44015,84.12
1.3319,0.43762,84.24
1.336,0.43509,84.36
1.3402,0.43256,84.48
1.3443,0.43006,84.6
1.3484,0.42758,84.72
1.3525,0.42509,84.84
1.3565,0.42262,84.96
1.3606,0.42014,85.08
1.3647,0.41767,85.2
1.3687,0.41524,85.32
1.3728,0.41281,85.44
1.3768,0.41038,85.56
1.3808,0.40796,85.68
1.3848,0.40554,85.8
1.3888,0.40316,85.92
1.3928,0.40078,86.04
1.3968,0.3984,86.16
1.4007,0.39604,86.28
1.4047,0.39367,86.4
1.4086,0.39132,86.52
1.4125,0.38899,86.64
1.4164,0.38667,86.76
1.4202,0.38438,86.88
1.4241,0.38212,87
1.4279,0.37985,87.12
1.4317,0.37759,87.24
1.4355,0.37535,87.36
1.4392,0.37315,87.48
1.443,0.37097,87.6
1.4467,0.36877,87.72
1.4504,0.36657,87.84
1.4541,0.36438,87.96
1.4578,0.36225,88.08
1.4615,0.36013,88.2
1.4651,0.35799,88.32
1.4688,0.35585,88.44
1.4725,0.35374,88.56
1.4761,0.35162,88.68
1.4798,0.34949,88.8
1.4834,0.34739,88.92
1.4869,0.34535,89.04
1.4905,0.34328,89.16
1.494,0.34123,89.28
1.4976,0.3392,89.4
1.5012,0.33713,89.52
1.5048,0.33512,89.64
1.5084,0.3331,89.76
1.512,0.33104,89.88
1.5157,0.32893,90
1.519,0.32701,90.12
1.5224,0.32509,90.24
1.5258,0.32319,90.36
1.5292,0.32134,90.48
1.5326,0.31949,90.6
1.5362,0.31758,90.72
1.5397,0.31558,90.84
1.5432,0.31353,90.96
1.5466,0.3117,91.08
1.55,0.30987,91.2
1.5534,0.30804,91.32
1.5568,0.30621,91.44
1.5602,0.30438,91.56
1.5635,0.30258,91.68
1.5668,0.30078,91.8
1.5702,0.29899,91.92
1.5735,0.29722,92.04
1.5768,0.29545,92.16
1.5801,0.29371,92.28
1.5833,0.29198,92.4
1.5866,0.29026,92.52
1.5898,0.28858,92.64
1.5931,0.2869,92.76
1.5963,0.28524,92.88
1.5995,0.2836,93
1.6027,0.28196,93.12
1.6058,0.28034,93.24
1.6089,0.27873,93.36
1.612,0.27714,93.48
1.615,0.27559,93.6
1.6181,0.27405,93.72
1.6211,0.27253,93.84
1.6241,0.27102,93.96
1.6271,0.26951,94.08
1.6301,0.26802,94.2
1.633,0.26653,94.32
1.636,0.26507,94.44
1.6389,0.26364,94.56
1.6418,0.26221,94.68
1.6447,0.26081,94.8
1.6475,0.25941,94.92
1.6504,0.25802,95.04
1.6532,0.25665,95.16
1.656,0.25528,95.28
1.6588,0.25393,95.4
1.6616,0.25258,95.52
1.6644,0.25123,95.64
1.6672,0.2499,95.76
1.67,0.24857,95.88
1.6728,0.24724,96
1.6755,0.24591,96.12
1.6783,0.24458,96.24
1.6812,0.24325,96.36
1.684,0.24192,96.48
1.6869,0.24059,96.6
1.6897,0.23929,96.72
1.6926,0.23799,96.84
1.6955,0.23667,96.96
1.6984,0.23535,97.08
1.7013,0.23403,97.2
1.7043,0.23268,97.32
1.7073,0.23133,97.44
1.7103,0.22997,97.56
1.7134,0.2286,97.68
1.7165,0.22724,97.8
1.7196,0.22587,97.92
1.7226,0.22451,98.04
1.7257,0.22316,98.16
1.7289,0.22184,98.28
1.732,0.22052,98.4
1.735,0.21921,98.52
1.738,0.2179,98.64
1.741,0.2166,98.76
1.744,0.21539,98.88
1.7469,0.21417,99
1.7498,0.21297,99.12
1.7526,0.21177,99.24
1.7555,0.21058,99.36
1.7583,0.20945,99.48
1.7612,0.20833,99.6
1.7639,0.20722,99.72
1.7662,0.20615,99.84
1.7686,0.20509,99.96
1.7708,0.2042,100.08
1.773,0.2034,100.2
1.7752,0.20261,100.32
1.7773,0.20181,100.44
1.7795,0.20101,100.56
1.7815,0.20025,100.68
1.7832,0.19952,100.8
1.785,0.19879,100.92
1.7868,0.19806,101.04
1.7885,0.19733,101.16
1.7901,0.19666,101.28
1.791,0.19617,101.4
1.7919,0.19568,101.52
1.7929,0.19519,101.64
1.7938,0.1947,101.76
1.7947,0.19421,101.88
1.7947,0.19387,102
1.7947,0.19353,102.12
1.7946,0.1932,102.24
1.7946,0.19286,102.36
1.7946,0.19252,102.48
1.7945,0.19249,102.6
1.7944,0.19251,102.72
1.7943,0.19254,102.84
1.7941,0.19257,102.96
1.794,0.1926,103.08
1.7939,0.19263,103.2
1.7938,0.19266,103.32
1.7937,0.19269,103.44
1.7936,0.19272,103.56
1.7935,0.19275,103.68
1.7934,0.19278,103.8
1.7933,0.19281,103.92
1.7932,0.19283,104.04
1.7931,0.19286,104.16
1.7929,0.19289,104.28
1.7928,0.19292,104.4
1.7927,0.19295,104.52
1.7926,0.19298,104.64
1.7925,0.19301,104.76
1.7924,0.19304,104.88
1.7923,0.19307,105
1.7919,0.19321,105.12
1.7916,0.19336,105.24
1.7912,0.1935,105.36
1.7909,0.19364,105.48
1.7905,0.19379,105.6
1.7901,0.19393,105.72
1.7898,0.19408,105.84
1.7894,0.19422,105.96
1.7891,0.19436,106.08
1.7887,0.19451,106.2
1.7884,0.19465,106.32
1.788,0.1948,106.44
1.7876,0.19494,106.56
1.7873,0.19508,106.68
1.7869,0.19523,106.8
1.7866,0.19537,106.92
1.7862,0.19552,107.04
1.7859,0.19566,107.16
1.7855,0.1958,107.28
1.7851,0.19595,107.4
1.7848,0.1961,107.52
1.7843,0.1963,107.64
1.7839,0.19649,107.76
1.7834,0.19669,107.88
1.783,0.19689,108
1.7825,0.19708,108.12
1.7821,0.19728,108.24
1.7816,0.19748,108.36
1.7812,0.19768,108.48
1.7807,0.19787,108.6
1.7803,0.19807,108.72
1.7798,0.19827,108.84
1.7794,0.19846,108.96
1.7789,0.19866,109.08
1.7785,0.19886,109.2
1.778,0.19905,109.32
1.7776,0.19925,109.44
1.7771,0.19945,109.56
1.7767,0.19964,109.68
1.7762,0.19984,109.8
1.7758,0.20004,109.92
1.7753,0.20024,110.04
1.7748,0.20044,110.16
1.7744,0.20064,110.28
1.7739,0.20085,110.4
1.7735,0.20105,110.52
1.773,0.20125,110.64
1.7725,0.20145,110.76
1.7721,0.20166,110.88
1.7716,0.20186,111
1.7712,0.20206,111.12
1.7707,0.20227,111.24
1.7702,0.20247,111.36
1.7698,0.20267,111.48
1.7693,0.20288,111.6
1.7689,0.20308,111.72
1.7684,0.20328,111.84
1.7679,0.20348,111.96
1.7675,0.20369,112.08
1.767,0.20389,112.2
1.7665,0.20409,112.32
1.7661,0.2043,112.44
1.7656,0.20449,112.56
1.7652,0.20467,112.68
1.7648,0.20486,112.8
1.7644,0.20504,112.92
1.7639,0.20523,113.04
1.7635,0.20541,113.16
1.7631,0.2056,113.28
1.7626,0.20578,113.4
1.7622,0.20597,113.52
1.7618,0.20615,113.64
1.7614,0.20634,113.76
1.7609,0.20652,113.88
1.7605,0.20671,114
1.7601,0.20689,114.12
1.7596,0.20708,114.24
1.7592,0.20726,114.36
1.7588,0.20745,114.48
1.7584,0.20763,114.6
1.7579,0.20782,114.72
1.7575,0.208,114.84
1.7571,0.20818,114.96
1.7567,0.20836,115.08
1.7563,0.20852,115.2
1.7559,0.20868,115.32
1.7555,0.20885,115.44
1.7551,0.20901,115.56
1.7547,0.20918,115.68
1.7543,0.20934,115.8
1.754,0.20951,115.92
1.7536,0.20967,116.04
1.7532,0.20984,116.16
1.7528,0.21,116.28
1.7524,0.21016,116.4
1.752,0.21033,116.52
1.7516,0.21049,116.64
1.7512,0.21066,116.76
1.7509,0.21082,116.88
1.7505,0.21099,117
1.7501,0.21115,117.12
1.7497,0.21132,117.24
1.7493,0.21148,117.36
1.7489,0.21164,117.48
1.7486,0.2118,117.6
1.7482,0.21195,117.72
1.7478,0.2121,117.84
1.7475,0.21225,117.96
1.7471,0.2124,118.08
1.7467,0.21255,118.2
1.7464,0.2127,118.32
1.746,0.21285,118.44
1.7456,0.213,118.56
1.7453,0.21315,118.68
1.7449,0.2133,118.8
1.7445,0.21346,118.92
1.7442,0.21361,119.04
1.7438,0.21376,119.16
1.7434,0.21391,119.28
1.7431,0.21406,119.4
1.7427,0.21421,119.52
1.7424,0.21436,119.64
1.742,0.21451,119.76
1.7416,0.21466,119.88
1.7413,0.21481,120
